MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
ENPRP,AR,2015,0,Arkansas,59.05336455,477,13453887
GETCB,AR,2015,808,Arkansas,59.05336455,477,13453887
HYTCB,AR,2015,33261,Arkansas,59.05336455,477,13453887
NCPRB,AR,2015,34194,Arkansas,59.05336455,477,13453887
NGMPB,AR,2015,1031466,Arkansas,59.05336455,477,13453887
NGMPK,AR,2015,1.021,Arkansas,59.05336455,477,13453887
NGMPP,AR,2015,1010382,Arkansas,59.05336455,477,13453887
NUETB,AR,2015,144716,Arkansas,59.05336455,477,13453887
PAPRB,AR,2015,35611,Arkansas,59.05336455,477,13453887
PAPRP,AR,2015,6229,Arkansas,59.05336455,477,13453887
REPRB,AR,2015,117840,Arkansas,59.05336455,477,13453887
SOTCB,AR,2015,124,Arkansas,59.05336455,477,13453887
TEPRB,AR,2015,1331452,Arkansas,59.05336455,477,13453887
TETCB,AR,2015,1062359,Arkansas,59.05336455,477,13453887
WDEXB,AR,2015,0,Arkansas,59.05336455,477,13453887
WDPRB,AR,2015,75417,Arkansas,59.05336455,477,13453887
WDTCB,AR,2015,75417,Arkansas,59.05336455,477,13453887
WSTCB,AR,2015,3799,Arkansas,59.05336455,477,13453887
WWPRB,AR,2015,79217,Arkansas,59.05336455,477,13453887
WYTCB,AR,2015,0,Arkansas,59.05336455,477,13453887
BDFDB,AZ,2015,12,Arizona,94.97878443,65,1724853
BDPRP,AZ,2015,2,Arizona,94.97878443,65,1724853
BFFDB,AZ,2015,6602,Arizona,94.97878443,65,1724853
BFPRP,AZ,2015,1157,Arizona,94.97878443,65,1724853
CLPRB,AZ,2015,146450,Arizona,94.97878443,65,1724853
CLPRK,AZ,2015,21.522,Arizona,94.97878443,65,1724853
CLPRP,AZ,2015,6805,Arizona,94.97878443,65,1724853
COPRK,AZ,2015,5.717,Arizona,94.97878443,65,1724853
EMFDB,AZ,2015,6590,Arizona,94.97878443,65,1724853
ENPRP,AZ,2015,1154,Arizona,94.97878443,65,1724853
GETCB,AZ,2015,345,Arizona,94.97878443,65,1724853
HYTCB,AZ,2015,60906,Arizona,94.97878443,65,1724853
NCPRB,AZ,2015,113693,Arizona,94.97878443,65,1724853
NGMPB,AZ,2015,99,Arizona,94.97878443,65,1724853
NGMPK,AZ,2015,1.04,Arizona,94.97878443,65,1724853
NGMPP,AZ,2015,95,Arizona,94.97878443,65,1724853
NUETB,AZ,2015,340153,Arizona,94.97878443,65,1724853
PAPRB,AZ,2015,212,Arizona,94.97878443,65,1724853
PAPRP,AZ,2015,37,Arizona,94.97878443,65,1724853
REPRB,AZ,2015,128954,Arizona,94.97878443,65,1724853
SOTCB,AZ,2015,48229,Arizona,94.97878443,65,1724853
TEPRB,AZ,2015,615867,Arizona,94.97878443,65,1724853
TETCB,AZ,2015,1495858,Arizona,94.97878443,65,1724853
WDEXB,AZ,2015,0,Arizona,94.97878443,65,1724853
WDPRB,AZ,2015,8001,Arizona,94.97878443,65,1724853
WDTCB,AZ,2015,8001,Arizona,94.97878443,65,1724853
WSTCB,AZ,2015,658,Arizona,94.97878443,65,1724853
WWPRB,AZ,2015,8659,Arizona,94.97878443,65,1724853
WYTCB,AZ,2015,4213,Arizona,94.97878443,65,1724853
BDFDB,CA,2015,4057,California,351.408516,1023,30077512
BDPRP,CA,2015,747,California,351.408516,1023,30077512
BFFDB,CA,2015,30601,California,351.408516,1023,30077512
BFPRP,CA,2015,5397,California,351.408516,1023,30077512
CLPRB,CA,2015,0,California,351.408516,1023,30077512
CLPRK,CA,2015,0,California,351.408516,1023,30077512
CLPRP,CA,2015,0,California,351.408516,1023,30077512
COPRK,CA,2015,5.717,California,351.408516,1023,30077512
EMFDB,CA,2015,26544,California,351.408516,1023,30077512
ENPRP,CA,2015,4650,California,351.408516,1023,30077512
GETCB,CA,2015,112878,California,351.408516,1023,30077512
HYTCB,CA,2015,128681,California,351.408516,1023,30077512
NCPRB,CA,2015,567365,California,351.408516,1023,30077512
NGMPB,CA,2015,271086,California,351.408516,1023,30077512
NGMPK,CA,2015,1.146,California,351.408516,1023,30077512
NGMPP,CA,2015,236648,California,351.408516,1023,30077512
NUETB,CA,2015,193529,California,351.408516,1023,30077512
PAPRB,CA,2015,1150741,California,351.408516,1023,30077512
PAPRP,CA,2015,201284,California,351.408516,1023,30077512
REPRB,CA,2015,737527,California,351.408516,1023,30077512
SOTCB,CA,2015,211839,California,351.408516,1023,30077512
TEPRB,CA,2015,2352883,California,351.408516,1023,30077512
TETCB,CA,2015,7525491,California,351.408516,1023,30077512
WDEXB,CA,2015,0,California,351.408516,1023,30077512
WDPRB,CA,2015,98852,California,351.408516,1023,30077512
WDTCB,CA,2015,98852,California,351.408516,1023,30077512
WSTCB,CA,2015,40708,California,351.408516,1023,30077512
WWPRB,CA,2015,139561,California,351.408516,1023,30077512
WYTCB,CA,2015,113967,California,351.408516,1023,30077512
BDFDB,CO,2015,0,Colorado,91.30387161,206,1658730
BDPRP,CO,2015,0,Colorado,91.30387161,206,1658730
BFFDB,CO,2015,19861,Colorado,91.30387161,206,1658730
BFPRP,CO,2015,3479,Colorado,91.30387161,206,1658730
CLPRB,CO,2015,403605,Colorado,91.30387161,206,1658730
CLPRK,CO,2015,21.379,Colorado,91.30387161,206,1658730
CLPRP,CO,2015,18879,Colorado,91.30387161,206,1658730
COPRK,CO,2015,5.717,Colorado,91.30387161,206,1658730
EMFDB,CO,2015,19861,Colorado,91.30387161,206,1658730
ENPRP,CO,2015,3479,Colorado,91.30387161,206,1658730
GETCB,CO,2015,759,Colorado,91.30387161,206,1658730
HYTCB,CO,2015,15098,Colorado,91.30387161,206,1658730
NCPRB,CO,2015,91789,Colorado,91.30387161,206,1658730
NGMPB,CO,2015,1965188,Colorado,91.30387161,206,1658730
NGMPK,CO,2015,1.164,Colorado,91.30387161,206,1658730
NGMPP,CO,2015,1688733,Colorado,91.30387161,206,1658730
NUETB,CO,2015,0,Colorado,91.30387161,206,1658730
PAPRB,CO,2015,698737,Colorado,91.30387161,206,1658730
PAPRP,CO,2015,122221,Colorado,91.30387161,206,1658730
REPRB,CO,2015,126586,Colorado,91.30387161,206,1658730
SOTCB,CO,2015,6270,Colorado,91.30387161,206,1658730
TEPRB,CO,2015,3194117,Colorado,91.30387161,206,1658730
TETCB,CO,2015,1501006,Colorado,91.30387161,206,1658730
WDEXB,CO,2015,0,Colorado,91.30387161,206,1658730
WDPRB,CO,2015,13804,Colorado,91.30387161,206,1658730
WDTCB,CO,2015,13804,Colorado,91.30387161,206,1658730
WSTCB,CO,2015,1133,Colorado,91.30387161,206,1658730
WWPRB,CO,2015,14936,Colorado,91.30387161,206,1658730
WYTCB,CO,2015,69662,Colorado,91.30387161,206,1658730
BDFDB,CT,2015,715,Connecticut,36.32904924,33,1340702
BDPRP,CT,2015,132,Connecticut,36.32904924,33,1340702
BFFDB,CT,2015,715,Connecticut,36.32904924,33,1340702
BFPRP,CT,2015,132,Connecticut,36.32904924,33,1340702
CLPRB,CT,2015,0,Connecticut,36.32904924,33,1340702
CLPRK,CT,2015,0,Connecticut,36.32904924,33,1340702
CLPRP,CT,2015,0,Connecticut,36.32904924,33,1340702
COPRK,CT,2015,0,Connecticut,36.32904924,33,1340702
EMFDB,CT,2015,0,Connecticut,36.32904924,33,1340702
ENPRP,CT,2015,0,Connecticut,36.32904924,33,1340702
GETCB,CT,2015,21,Connecticut,36.32904924,33,1340702
HYTCB,CT,2015,2819,Connecticut,36.32904924,33,1340702
NCPRB,CT,2015,5792,Connecticut,36.32904924,33,1340702
NGMPB,CT,2015,0,Connecticut,36.32904924,33,1340702
NGMPK,CT,2015,0,Connecticut,36.32904924,33,1340702
NGMPP,CT,2015,0,Connecticut,36.32904924,33,1340702
NUETB,CT,2015,182083,Connecticut,36.32904924,33,1340702
PAPRB,CT,2015,0,Connecticut,36.32904924,33,1340702
PAPRP,CT,2015,0,Connecticut,36.32904924,33,1340702
REPRB,CT,2015,33234,Connecticut,36.32904924,33,1340702
SOTCB,CT,2015,2952,Connecticut,36.32904924,33,1340702
TEPRB,CT,2015,215318,Connecticut,36.32904924,33,1340702
TETCB,CT,2015,756746,Connecticut,36.32904924,33,1340702
WDEXB,CT,2015,0,Connecticut,36.32904924,33,1340702
WDPRB,CT,2015,15661,Connecticut,36.32904924,33,1340702
WDTCB,CT,2015,15661,Connecticut,36.32904924,33,1340702
WSTCB,CT,2015,11067,Connecticut,36.32904924,33,1340702
WWPRB,CT,2015,26728,Connecticut,36.32904924,33,1340702
WYTCB,CT,2015,0,Connecticut,36.32904924,33,1340702
BDFDB,DC,2015,0,District of Columbia,2.956880797,,
BDPRP,DC,2015,0,District of Columbia,2.956880797,,
BFFDB,DC,2015,0,District of Columbia,2.956880797,,
BFPRP,DC,2015,0,District of Columbia,2.956880797,,
CLPRB,DC,2015,0,District of Columbia,2.956880797,,
CLPRK,DC,2015,0,District of Columbia,2.956880797,,
CLPRP,DC,2015,0,District of Columbia,2.956880797,,
COPRK,DC,2015,0,District of Columbia,2.956880797,,
EMFDB,DC,2015,0,District of Columbia,2.956880797,,
ENPRP,DC,2015,0,District of Columbia,2.956880797,,
GETCB,DC,2015,22,District of Columbia,2.956880797,,
HYTCB,DC,2015,0,District of Columbia,2.956880797,,
NCPRB,DC,2015,326,District of Columbia,2.956880797,,
NGMPB,DC,2015,0,District of Columbia,2.956880797,,
NGMPK,DC,2015,0,District of Columbia,2.956880797,,
NGMPP,DC,2015,0,District of Columbia,2.956880797,,
NUETB,DC,2015,0,District of Columbia,2.956880797,,
PAPRB,DC,2015,0,District of Columbia,2.956880797,,
PAPRP,DC,2015,0,District of Columbia,2.956880797,,
REPRB,DC,2015,824,District of Columbia,2.956880797,,
SOTCB,DC,2015,304,District of Columbia,2.956880797,,
TEPRB,DC,2015,824,District of Columbia,2.956880797,,
TETCB,DC,2015,178222,District of Columbia,2.956880797,,
WDEXB,DC,2015,0,District of Columbia,2.956880797,,
WDPRB,DC,2015,0,District of Columbia,2.956880797,,
WDTCB,DC,2015,0,District of Columbia,2.956880797,,
WSTCB,DC,2015,498,District of Columbia,2.956880797,,
WWPRB,DC,2015,498,District of Columbia,2.956880797,,
WYTCB,DC,2015,0,District of Columbia,2.956880797,,
BDFDB,DE,2015,0,Delaware,13.9053954,68,1452666
BDPRP,DE,2015,0,Delaware,13.9053954,68,1452666
BFFDB,DE,2015,0,Delaware,13.9053954,68,1452666
BFPRP,DE,2015,0,Delaware,13.9053954,68,1452666
CLPRB,DE,2015,0,Delaware,13.9053954,68,1452666
CLPRK,DE,2015,0,Delaware,13.9053954,68,1452666
CLPRP,DE,2015,0,Delaware,13.9053954,68,1452666
COPRK,DE,2015,0,Delaware,13.9053954,68,1452666
EMFDB,DE,2015,0,Delaware,13.9053954,68,1452666
ENPRP,DE,2015,0,Delaware,13.9053954,68,1452666
GETCB,DE,2015,430,Delaware,13.9053954,68,1452666
HYTCB,DE,2015,0,Delaware,13.9053954,68,1452666
NCPRB,DE,2015,1708,Delaware,13.9053954,68,1452666
NGMPB,DE,2015,0,Delaware,13.9053954,68,1452666
NGMPK,DE,2015,0,Delaware,13.9053954,68,1452666
NGMPP,DE,2015,0,Delaware,13.9053954,68,1452666
NUETB,DE,2015,0,Delaware,13.9053954,68,1452666
PAPRB,DE,2015,0,Delaware,13.9053954,68,1452666
PAPRP,DE,2015,0,Delaware,13.9053954,68,1452666
REPRB,DE,2015,3517,Delaware,13.9053954,68,1452666
SOTCB,DE,2015,1230,Delaware,13.9053954,68,1452666
TEPRB,DE,2015,3517,Delaware,13.9053954,68,1452666
TETCB,DE,2015,284672,Delaware,13.9053954,68,1452666
WDEXB,DE,2015,0,Delaware,13.9053954,68,1452666
WDPRB,DE,2015,1044,Delaware,13.9053954,68,1452666
WDTCB,DE,2015,1044,Delaware,13.9053954,68,1452666
WSTCB,DE,2015,765,Delaware,13.9053954,68,1452666
WWPRB,DE,2015,1809,Delaware,13.9053954,68,1452666
WYTCB,DE,2015,48,Delaware,13.9053954,68,1452666
BDFDB,FL,2015,645,Florida,237.3833592,45,3527420
BDPRP,FL,2015,119,Florida,237.3833592,45,3527420
BFFDB,FL,2015,645,Florida,237.3833592,45,3527420
BFPRP,FL,2015,119,Florida,237.3833592,45,3527420
CLPRB,FL,2015,0,Florida,237.3833592,45,3527420
CLPRK,FL,2015,0,Florida,237.3833592,45,3527420
CLPRP,FL,2015,0,Florida,237.3833592,45,3527420
COPRK,FL,2015,5.717,Florida,237.3833592,45,3527420
EMFDB,FL,2015,0,Florida,237.3833592,45,3527420
ENPRP,FL,2015,0,Florida,237.3833592,45,3527420
GETCB,FL,2015,10056,Florida,237.3833592,45,3527420
HYTCB,FL,2015,2277,Florida,237.3833592,45,3527420
NCPRB,FL,2015,42466,Florida,237.3833592,45,3527420
NGMPB,FL,2015,1162,Florida,237.3833592,45,3527420
NGMPK,FL,2015,1.521,Florida,237.3833592,45,3527420
NGMPP,FL,2015,764,Florida,237.3833592,45,3527420
NUETB,FL,2015,294099,Florida,237.3833592,45,3527420
PAPRB,FL,2015,12623,Florida,237.3833592,45,3527420
PAPRP,FL,2015,2208,Florida,237.3833592,45,3527420
REPRB,FL,2015,223761,Florida,237.3833592,45,3527420
SOTCB,FL,2015,30133,Florida,237.3833592,45,3527420
TEPRB,FL,2015,531646,Florida,237.3833592,45,3527420
TETCB,FL,2015,4324701,Florida,237.3833592,45,3527420
WDEXB,FL,2015,0,Florida,237.3833592,45,3527420
WDPRB,FL,2015,111608,Florida,237.3833592,45,3527420
WDTCB,FL,2015,111608,Florida,237.3833592,45,3527420
WSTCB,FL,2015,69043,Florida,237.3833592,45,3527420
WWPRB,FL,2015,180650,Florida,237.3833592,45,3527420
WYTCB,FL,2015,0,Florida,237.3833592,45,3527420
BDFDB,GA,2015,1242,Georgia,145.6756383,247,6155856
BDPRP,GA,2015,229,Georgia,145.6756383,247,6155856
BFFDB,GA,2015,14563,Georgia,145.6756383,247,6155856
BFPRP,GA,2015,2562,Georgia,145.6756383,247,6155856
CLPRB,GA,2015,0,Georgia,145.6756383,247,6155856
CLPRK,GA,2015,0,Georgia,145.6756383,247,6155856
CLPRP,GA,2015,0,Georgia,145.6756383,247,6155856
COPRK,GA,2015,0,Georgia,145.6756383,247,6155856
EMFDB,GA,2015,13321,Georgia,145.6756383,247,6155856
ENPRP,GA,2015,2334,Georgia,145.6756383,247,6155856
GETCB,GA,2015,315,Georgia,145.6756383,247,6155856
HYTCB,GA,2015,27804,Georgia,145.6756383,247,6155856
NCPRB,GA,2015,30579,Georgia,145.6756383,247,6155856
NGMPB,GA,2015,0,Georgia,145.6756383,247,6155856
NGMPK,GA,2015,0,Georgia,145.6756383,247,6155856
NGMPP,GA,2015,0,Georgia,145.6756383,247,6155856
NUETB,GA,2015,353883,Georgia,145.6756383,247,6155856
PAPRB,GA,2015,0,Georgia,145.6756383,247,6155856
PAPRP,GA,2015,0,Georgia,145.6756383,247,6155856
REPRB,GA,2015,269514,Georgia,145.6756383,247,6155856
SOTCB,GA,2015,2461,Georgia,145.6756383,247,6155856
TEPRB,GA,2015,623396,Georgia,145.6756383,247,6155856
TETCB,GA,2015,2978591,Georgia,145.6756383,247,6155856
WDEXB,GA,2015,0,Georgia,145.6756383,247,6155856
WDPRB,GA,2015,195948,Georgia,145.6756383,247,6155856
WDTCB,GA,2015,195948,Georgia,145.6756383,247,6155856
WSTCB,GA,2015,28423,Georgia,145.6756383,247,6155856
WWPRB,GA,2015,224371,Georgia,145.6756383,247,6155856
WYTCB,GA,2015,0,Georgia,145.6756383,247,6155856
BDFDB,HI,2015,383,Hawaii,19.7810368,16,1033143
BDPRP,HI,2015,70,Hawaii,19.7810368,16,1033143
BFFDB,HI,2015,383,Hawaii,19.7810368,16,1033143
BFPRP,HI,2015,70,Hawaii,19.7810368,16,1033143
CLPRB,HI,2015,0,Hawaii,19.7810368,16,1033143
CLPRK,HI,2015,0,Hawaii,19.7810368,16,1033143
CLPRP,HI,2015,0,Hawaii,19.7810368,16,1033143
COPRK,HI,2015,0,Hawaii,19.7810368,16,1033143
EMFDB,HI,2015,0,Hawaii,19.7810368,16,1033143
ENPRP,HI,2015,0,Hawaii,19.7810368,16,1033143
GETCB,HI,2015,2154,Hawaii,19.7810368,16,1033143
HYTCB,HI,2015,1129,Hawaii,19.7810368,16,1033143
NCPRB,HI,2015,17353,Hawaii,19.7810368,16,1033143
NGMPB,HI,2015,0,Hawaii,19.7810368,16,1033143
NGMPK,HI,2015,0,Hawaii,19.7810368,16,1033143
NGMPP,HI,2015,0,Hawaii,19.7810368,16,1033143
NUETB,HI,2015,0,Hawaii,19.7810368,16,1033143
PAPRB,HI,2015,0,Hawaii,19.7810368,16,1033143
PAPRP,HI,2015,0,Hawaii,19.7810368,16,1033143
REPRB,HI,2015,24957,Hawaii,19.7810368,16,1033143
SOTCB,HI,2015,8360,Hawaii,19.7810368,16,1033143
TEPRB,HI,2015,24957,Hawaii,19.7810368,16,1033143
TETCB,HI,2015,298992,Hawaii,19.7810368,16,1033143
WDEXB,HI,2015,0,Hawaii,19.7810368,16,1033143
WDPRB,HI,2015,38,Hawaii,19.7810368,16,1033143
WDTCB,HI,2015,38,Hawaii,19.7810368,16,1033143
WSTCB,HI,2015,7182,Hawaii,19.7810368,16,1033143
WWPRB,HI,2015,7220,Hawaii,19.7810368,16,1033143
WYTCB,HI,2015,5710,Hawaii,19.7810368,16,1033143
BDFDB,IA,2015,31304,Iowa,77.41573961,198,5552396
BDPRP,IA,2015,5762,Iowa,77.41573961,198,5552396
BFFDB,IA,2015,568234,Iowa,77.41573961,198,5552396
BFPRP,IA,2015,99820,Iowa,77.41573961,198,5552396
CLPRB,IA,2015,0,Iowa,77.41573961,198,5552396
CLPRK,IA,2015,0,Iowa,77.41573961,198,5552396
CLPRP,IA,2015,0,Iowa,77.41573961,198,5552396
COPRK,IA,2015,0,Iowa,77.41573961,198,5552396
EMFDB,IA,2015,536929,Iowa,77.41573961,198,5552396
ENPRP,IA,2015,94058,Iowa,77.41573961,198,5552396
GETCB,IA,2015,1281,Iowa,77.41573961,198,5552396
HYTCB,IA,2015,8948,Iowa,77.41573961,198,5552396
NCPRB,IA,2015,177203,Iowa,77.41573961,198,5552396
NGMPB,IA,2015,0,Iowa,77.41573961,198,5552396
NGMPK,IA,2015,0,Iowa,77.41573961,198,5552396
NGMPP,IA,2015,0,Iowa,77.41573961,198,5552396
NUETB,IA,2015,54836,Iowa,77.41573961,198,5552396
PAPRB,IA,2015,0,Iowa,77.41573961,198,5552396
PAPRP,IA,2015,0,Iowa,77.41573961,198,5552396
REPRB,IA,2015,766862,Iowa,77.41573961,198,5552396
SOTCB,IA,2015,419,Iowa,77.41573961,198,5552396
TEPRB,IA,2015,821698,Iowa,77.41573961,198,5552396
TETCB,IA,2015,1507520,Iowa,77.41573961,198,5552396
WDEXB,IA,2015,0,Iowa,77.41573961,198,5552396
WDPRB,IA,2015,6967,Iowa,77.41573961,198,5552396
WDTCB,IA,2015,6967,Iowa,77.41573961,198,5552396
WSTCB,IA,2015,14458,Iowa,77.41573961,198,5552396
WWPRB,IA,2015,21425,Iowa,77.41573961,198,5552396
WYTCB,IA,2015,166555,Iowa,77.41573961,198,5552396
BDFDB,ID,2015,0,Idaho,18.03591394,108,1895904
BDPRP,ID,2015,0,Idaho,18.03591394,108,1895904
BFFDB,ID,2015,8871,Idaho,18.03591394,108,1895904
BFPRP,ID,2015,1554,Idaho,18.03591394,108,1895904
CLPRB,ID,2015,0,Idaho,18.03591394,108,1895904
CLPRK,ID,2015,0,Idaho,18.03591394,108,1895904
CLPRP,ID,2015,0,Idaho,18.03591394,108,1895904
COPRK,ID,2015,5.717,Idaho,18.03591394,108,1895904
EMFDB,ID,2015,8871,Idaho,18.03591394,108,1895904
ENPRP,ID,2015,1554,Idaho,18.03591394,108,1895904
GETCB,ID,2015,2207,Idaho,18.03591394,108,1895904
HYTCB,ID,2015,81603,Idaho,18.03591394,108,1895904
NCPRB,ID,2015,105046,Idaho,18.03591394,108,1895904
NGMPB,ID,2015,1192,Idaho,18.03591394,108,1895904
NGMPK,ID,2015,1.106,Idaho,18.03591394,108,1895904
NGMPP,ID,2015,1078,Idaho,18.03591394,108,1895904
NUETB,ID,2015,0,Idaho,18.03591394,108,1895904
PAPRB,ID,2015,172,Idaho,18.03591394,108,1895904
PAPRP,ID,2015,30,Idaho,18.03591394,108,1895904
REPRB,ID,2015,153503,Idaho,18.03591394,108,1895904
SOTCB,ID,2015,81,Idaho,18.03591394,108,1895904
TEPRB,ID,2015,154866,Idaho,18.03591394,108,1895904
TETCB,ID,2015,540252,Idaho,18.03591394,108,1895904
WDEXB,ID,2015,0,Idaho,18.03591394,108,1895904
WDPRB,ID,2015,32130,Idaho,18.03591394,108,1895904
WDTCB,ID,2015,32130,Idaho,18.03591394,108,1895904
WSTCB,ID,2015,7455,Idaho,18.03591394,108,1895904
WWPRB,ID,2015,39585,Idaho,18.03591394,108,1895904
WYTCB,ID,2015,21156,Idaho,18.03591394,108,1895904
BDFDB,IL,2015,19087,Illinois,219.157681,57,2533998
BDPRP,IL,2015,3513,Illinois,219.157681,57,2533998
BFFDB,IL,2015,230655,Illinois,219.157681,57,2533998
BFPRP,IL,2015,40575,Illinois,219.157681,57,2533998
CLPRB,IL,2015,1252879,Illinois,219.157681,57,2533998
CLPRK,IL,2015,22.282,Illinois,219.157681,57,2533998
CLPRP,IL,2015,56227,Illinois,219.157681,57,2533998
COPRK,IL,2015,5.717,Illinois,219.157681,57,2533998
EMFDB,IL,2015,211568,Illinois,219.157681,57,2533998
ENPRP,IL,2015,37062,Illinois,219.157681,57,2533998
GETCB,IL,2015,2042,Illinois,219.157681,57,2533998
HYTCB,IL,2015,1160,Illinois,219.157681,57,2533998
NCPRB,IL,2015,105293,Illinois,219.157681,57,2533998
NGMPB,IL,2015,2210,Illinois,219.157681,57,2533998
NGMPK,IL,2015,1.062,Illinois,219.157681,57,2533998
NGMPP,IL,2015,2080,Illinois,219.157681,57,2533998
NUETB,IL,2015,1017377,Illinois,219.157681,57,2533998
PAPRB,IL,2015,54426,Illinois,219.157681,57,2533998
PAPRP,IL,2015,9520,Illinois,219.157681,57,2533998
REPRB,IL,2015,355359,Illinois,219.157681,57,2533998
SOTCB,IL,2015,1938,Illinois,219.157681,57,2533998
TEPRB,IL,2015,2682250,Illinois,219.157681,57,2533998
TETCB,IL,2015,3920125,Illinois,219.157681,57,2533998
WDEXB,IL,2015,0,Illinois,219.157681,57,2533998
WDPRB,IL,2015,8185,Illinois,219.157681,57,2533998
WDTCB,IL,2015,8185,Illinois,219.157681,57,2533998
WSTCB,IL,2015,11225,Illinois,219.157681,57,2533998
WWPRB,IL,2015,19411,Illinois,219.157681,57,2533998
WYTCB,IL,2015,100154,Illinois,219.157681,57,2533998
BDFDB,IN,2015,11841,Indiana,187.2335142,68,2525723
BDPRP,IN,2015,2179,Indiana,187.2335142,68,2525723
BFFDB,IN,2015,155552,Indiana,187.2335142,68,2525723
BFPRP,IN,2015,27354,Indiana,187.2335142,68,2525723
CLPRB,IN,2015,776493,Indiana,187.2335142,68,2525723
CLPRK,IN,2015,22.641,Indiana,187.2335142,68,2525723
CLPRP,IN,2015,34295,Indiana,187.2335142,68,2525723
COPRK,IN,2015,5.717,Indiana,187.2335142,68,2525723
